,name,brand,price,url,image
31,Max White Expert Original,Colgate,4.60,https://www.notino.co.uk/colgate/max-white-expert-white-whitening-toothpaste/,https://cdn.notinoimg.com/list_2k//colgate/7509546064857_01-o__221125.jpg
32,Complete Protection Extra Fresh,Parodontax,4.40,https://www.notino.co.uk/parodontax/complete-protection-extra-fresh-fluoride-toothpaste-for-healthy-teeth-and-gums/,https://cdn.notinoimg.com/list_2k//parodontax/5054563040596_01-o__180504.jpg
33,Repair & Protect,Sensodyne,5.30,https://www.notino.co.uk/sensodyne/repair-protect-toothpaste-for-sensitive-teeth-73385/,https://cdn.notinoimg.com/list_2k//sensodyne/5054563103567_01-o__210908.jpg
34,White Now Gold,Signal,3.70,https://www.notino.co.uk/signal/white-now-gold-toothpaste/,https://cdn.notinoimg.com/list_2k//signal/8720181327155_01-o__230411.jpg
35,The Mints Jasmin,Marvis,3.90,https://www.notino.co.uk/marvis/jasmin-mint-toothpaste/,https://cdn.notinoimg.com/list_2k//marvis/8004395111756_01-o__171120.jpg
36,Plus Total Protection,Biorepair,4.70,https://www.notino.co.uk/biorepair/plus-protect-tooth-enamel-fortifying-toothpaste/,https://cdn.notinoimg.com/list_2k//biorepair/brpprow_ktps45_01__170616.jpg
37,Pro White,Biorepair,4.00,https://www.notino.co.uk/biorepair/whitening-whitening-toothpaste/,https://cdn.notinoimg.com/list_2k//biorepair/brpwhiw_ktps45__130828.jpg
38,Complete Protect 7 Original,Blend-a-med,1.70,https://www.notino.co.uk/blend-a-med/complete-protect-7-original-toothpaste-for-complete-protection-of-teeth/,https://cdn.notinoimg.com/list_2k//blend-a-med/8006540391488_01-o__220816.jpg
39,Extra Whitening,Sensodyne,5.00,https://www.notino.co.uk/sensodyne/extra-whitening-whitening-toothpaste-with-fluoride-for-sensitive-teeth-394207/,https://cdn.notinoimg.com/list_2k//sensodyne/5054563039774_01-o__180406.jpg
40,The Mints Anise,Marvis,2.80,https://www.notino.co.uk/marvis/marvis-anise-mint-toothpaste/,https://cdn.notinoimg.com/list_2k//marvis/8004395111879_01-o__190911.jpg
41,Whitening,MEDIBLANC,6.80,https://www.notino.co.uk/mediblanc/whitening-toothpaste-with-whitening-effect/,https://cdn.notinoimg.com/list_2k//mediblanc/3760275386502-o__221107.jpg
42,Enzycal 1450,Curaprox,5.90,https://www.notino.co.uk/curaprox/enzycal-1450-toothpaste/,https://cdn.notinoimg.com/list_2k//curaprox/7612412070002_01-o__141218.jpg
43,White Now,Signal,3.20,https://www.notino.co.uk/signal/white-now-toothpaste-with-whitening-effect/,https://cdn.notinoimg.com/list_2k//signal/8717644461068_01-o__230106.jpg
